Epsilon, Learning Rate, Average Return
0.0, 0.0, -57.79603979999999
0.0, 0.1, -38.53439999999997
0.0, 0.2, -36.334020977999984
0.0, 0.3, -36.550979999999974
0.0, 0.4, -48.426002639999986
0.0, 0.5, -45.907734419999976
0.0, 0.6, -38.710979999999964
0.0, 0.7, -23.166840977999982
0.0, 0.8, -35.62217034353456
0.0, 0.9, -48.55399839826301
0.0, 1.0, -67.28164007238001
0.1, 0.0, -54.88196399999999
0.1, 0.1, -39.47219999999997
0.1, 0.2, -59.01035706
0.1, 0.3, -59.56506922766581
0.1, 0.4, -52.06517999999997
0.1, 0.5, -50.13440261999998
0.1, 0.6, -28.53917999999997
0.1, 0.7, -29.02697999999996
0.1, 0.8, -60.86503888020001
0.1, 0.9, -36.381369270593964
0.1, 1.0, -43.05767579999998
0.2, 0.0, -62.39455019999998
0.2, 0.1, -69.56726400000001
0.2, 0.2, -33.16679999999999
0.2, 0.3, -54.581579999999974
0.2, 0.4, -47.20132061999996
0.2, 0.5, -55.46651215784581
0.2, 0.6, -69.19449084000001
0.2, 0.7, -24.67879379999996
0.2, 0.8, -48.582284264189276
0.2, 0.9, -28.2555738
0.2, 1.0, -39.36419999999998
0.3, 0.0, -56.57957999999999
0.3, 0.1, -45.147419999999954
0.3, 0.2, -52.47692898822001
0.3, 0.3, -43.22933441999999
0.3, 0.4, -49.65090821999999
0.3, 0.5, -49.20919379999999
0.3, 0.6, -47.390759999999965
0.3, 0.7, -42.035724
0.3, 0.8, -58.642993799999985
0.3, 0.9, -66.63259980000002
0.3, 1.0, -62.50030199999999
0.4, 0.0, -57.527999999999984
0.4, 0.1, -60.15895704000001
0.4, 0.2, -45.29446199999998
0.4, 0.3, -50.93999999999997
0.4, 0.4, -47.348350200000006
0.4, 0.5, -51.92279999999997
0.4, 0.6, -58.825476880199986
0.4, 0.7, -52.41059999999999
0.4, 0.8, -62.525682
0.4, 0.9, -54.33001379999997
0.4, 1.0, -51.26039999999998
0.5, 0.0, -63.25284097799999
0.5, 0.1, -50.87977379999998
0.5, 0.2, -40.936301999999976
0.5, 0.3, -49.00957019999997
0.5, 0.4, -55.189619999999984
0.5, 0.5, -53.85481380000001
0.5, 0.6, -51.54757379999998
0.5, 0.7, -51.15714461999999
0.5, 0.8, -66.547611198
0.5, 0.9, -49.983281999999974
0.5, 1.0, -50.738399999999984
0.6, 0.0, -72.4164138
0.6, 0.1, -58.5099702
0.6, 0.2, -51.28520759999998
0.6, 0.3, -60.00839999999997
0.6, 0.4, -70.7983902
0.6, 0.5, -57.129281999999996
0.6, 0.6, -48.815981999999984
0.6, 0.7, -68.86098
0.6, 0.8, -57.27924000000001
0.6, 0.9, -44.129230199999995
0.6, 1.0, -50.42442599999998
0.7, 0.0, -62.75483999999999
0.7, 0.1, -58.67590604909924
0.7, 0.2, -61.64639999999999
0.7, 0.3, -45.52187579999999
0.7, 0.4, -60.29062199999999
0.7, 0.5, -43.962634061999985
0.7, 0.6, -46.68533441999996
0.7, 0.7, -50.70239999999999
0.7, 0.8, -59.569920880200016
0.7, 0.9, -48.31450199999998
0.7, 1.0, -50.93675441999998
0.8, 0.0, -65.03616
0.8, 0.1, -60.65202097799999
0.8, 0.2, -59.69141999999998
0.8, 0.3, -62.536647599999995
0.8, 0.4, -52.86733019999998
0.8, 0.5, -48.04361999999998
0.8, 0.6, -53.193419999999975
0.8, 0.7, -66.63294
0.8, 0.8, -54.47147579999998
0.8, 0.9, -62.11177019999998
0.8, 1.0, -62.656199999999984
0.9, 0.0, -56.583179999999984
0.9, 0.1, -58.791419999999995
0.9, 0.2, -51.04619999999998
0.9, 0.3, -55.20419999999999
0.9, 0.4, -61.4758896
0.9, 0.5, -54.412020000000005
0.9, 0.6, -67.35599999999998
0.9, 0.7, -52.04465999999999
0.9, 0.8, -63.384895799999995
0.9, 0.9, -65.4426
0.9, 1.0, -59.55352199999999
1.0, 0.0, -63.27503999999999
1.0, 0.1, -63.87497999999999
1.0, 0.2, -61.4452302
1.0, 0.3, -58.82659379999999
1.0, 0.4, -59.52776399999999
1.0, 0.5, -66.4130538
1.0, 0.6, -60.1526502
1.0, 0.7, -62.8146
1.0, 0.8, -67.22802
1.0, 0.9, -71.28378
1.0, 1.0, -67.13118
